PRODUCTNAME,COUNTRY,YEAR,MONTH,TOTALSALES
1968_Ford_Mustang,Australia,2003,11,5010
1957_Corvette_Convertible,Australia,2003,11,4917
1932_Model_A_Ford_J_Coupe,Australia,2003,11,4664
2002_Suzuki_XREO,Australia,2003,11,4655
1940_Ford_Pickup_Truck,Australia,2003,11,4464
1976_Ford_Gran_Torino,Australia,2003,11,4428
1974_Ducati_350_Mk3_Desmo,Australia,2003,11,3910
2002_Yamaha_YZR_M1,Australia,2003,11,3888
1928_Mercedes_Benz_SSK,Australia,2003,11,3674
1917_Grand_Touring_Sedan,Australia,2003,11,3150
1937_Lincoln_Berline,Australia,2003,11,3108
1982_Ducati_900_Monster,Australia,2003,11,2812
18th_Century_Vintage_Horse_Carriage,Australia,2003,11,2760
1957_Vespa_GS150,Australia,2003,11,2584
1917_Maxwell_Touring_Car,Australia,2003,11,2528
1911_Ford_Town_Car,Australia,2003,11,2478
1936_Mercedes_Benz_500K_Special_Roadster,Australia,2003,11,2438
1932_Alfa_Romeo_8C2300_Spider_Sport,Australia,2003,11,2352
1970_Plymouth_Hemi_Cuda,Australia,2003,11,2304
1961_Chevrolet_Impala,Australia,2003,11,2280
1936_Chrysler_Airflow,Australia,2003,11,2280
1969_Dodge_Super_Bee,Australia,2003,11,2272
1939_Cadillac_Limousine,Australia,2003,11,2205
1957_Ford_Thunderbird,Australia,2003,11,1900
1971_Alpine_Renault_1600s,Australia,2003,11,1700
1934_Ford_V8_Coupe,Australia,2003,11,1248
1982_Ducati_996_R,Australia,2003,11,1040
1938_Cadillac_V_16_Presidential_Limousine,Australia,2003,11,1020
1936_Mercedes_Benz_500k_Roadster,Australia,2003,11,902
1939_Chevrolet_Deluxe_Coupe,Australia,2003,11,754
2003_Harley_Davidson_Eagle_Drag_Bike,Australia,2004,2,9751
1996_Moto_Guzzi_1100i,Australia,2004,2,5405
P_51_D_Mustang,Australia,2004,2,4747
1969_Harley_Davidson_Ultimate_Chopper,Australia,2004,2,3959
1928_British_Royal_Navy_Airplane,Australia,2004,2,3604
ATA:_B757_300,Australia,2004,2,3190
1997_BMW_R_1100_S,Australia,2004,2,2912
1960_BSA_Gold_Star_DBD34_1960,Australia,2004,2,2622
American_Airlines:_B767_300,Australia,2004,2,2525
1997_BMW_F650_ST,Australia,2004,2,2478
1930_Buick_Marquette_Phaeton,Australia,2004,2,1886
F/A_18_Hornet_1/72,Australia,2004,2,1742
1900s_Vintage_Tri_Plane,Australia,2004,2,1725
1936_Harley_Davidson_El_Knucklehead,Australia,2004,2,1708
1928_Ford_Phaeton_Deluxe,Australia,2004,2,1320
1976_Ford_Gran_Torino,Australia,2004,7,8428
1940s_Ford_truck,Australia,2004,7,5396
1952_Alpine_Renault_1300,Australia,2004,7,4914
18th_Century_Vintage_Horse_Carriage,Australia,2004,7,4788
1962_LanciaA_Delta_16V,Australia,2004,7,4288
1940_Ford_Pickup_Truck,Australia,2004,7,4171
1958_Setra_Bus,Australia,2004,7,4088
1982_Camaro_Z28,Australia,2004,7,4048
1969_Dodge_Super_Bee,Australia,2004,7,3915
1913_Ford_Model_T_Speedster,Australia,2004,7,2976
1980?s_GM_Manhattan_Express,Australia,2004,7,2752
1939_Cadillac_Limousine,Australia,2004,7,2552
1996_Peterbilt_379_Stake_Bed_with_Outrigger,Australia,2004,7,1323
1926_Ford_Fire_Engine,Australia,2004,11,6850
1976_Ford_Gran_Torino,Australia,2004,11,6545
1993_Mazda_RX_7,Australia,2004,11,6440
1957_Corvette_Convertible,Australia,2004,11,6270
1940s_Ford_truck,Australia,2004,11,5895
1992_Ferrari_360_Spider_red,Australia,2004,11,5040
1956_Porsche_356A_Coupe,Australia,2004,11,4998
18th_Century_Vintage_Horse_Carriage,Australia,2004,11,4950
1928_Mercedes_Benz_SSK,Australia,2004,11,4809
1913_Ford_Model_T_Speedster,Australia,2004,11,4800
1962_LanciaA_Delta_16V,Australia,2004,11,4428
1952_Alpine_Renault_1300,Australia,2004,11,3930
1958_Setra_Bus,Australia,2004,11,3596
1948_Porsche_356_A_Roadster,Australia,2004,11,3575
1995_Honda_Civic,Australia,2004,11,3168
1971_Alpine_Renault_1600s,Australia,2004,11,2976
1917_Maxwell_Touring_Car,Australia,2004,11,2652
1934_Ford_V8_Coupe,Australia,2004,11,2210
1940_Ford_Pickup_Truck,Australia,2004,11,2100
1969_Dodge_Super_Bee,Australia,2004,11,1675
1982_Lamborghini_Diablo,Australia,2004,11,1560
1957_Vespa_GS150,Australia,2004,11,1456
1936_Mercedes_Benz_500K_Special_Roadster,Australia,2004,11,1239
F/A_18_Hornet_1/72,Australia,2004,12,5016
American_Airlines:_MD_11S,Australia,2004,12,4270
1937_Horch_930V_Limousine,Australia,2004,12,3876
Corsair_F4U_(_Bird_Cage),Australia,2004,12,3718
1928_Ford_Phaeton_Deluxe,Australia,2004,12,3528
ATA:_B757_300,Australia,2004,12,3168
America_West_Airlines_B757_200,Australia,2004,12,2756
1930_Buick_Marquette_Phaeton,Australia,2004,12,2739
Boeing_X_32A_JSF,Australia,2004,12,2185
1900s_Vintage_Tri_Plane,Australia,2004,12,1550
1969_Harley_Davidson_Ultimate_Chopper,Australia,2004,12,1460
1996_Moto_Guzzi_1100i,Australia,2004,12,1326
American_Airlines:_B767_300,Australia,2004,12,1220
HMS_Bounty,Australia,2004,12,1080
1958_Setra_Bus,Australia,2005,1,8477
1964_Mercedec_Tour_Bus,Australia,2005,1,3938
1940_Ford_Pickup_Truck,Australia,2005,1,3915
1996_Peterbilt_379_Stake_Bed_with_Outrigger,Australia,2005,1,3150
1939_Cadillac_Limousine,Australia,2005,1,2720
1962_LanciaA_Delta_16V,Australia,2005,1,2310
1926_Ford_Fire_Engine,Australia,2005,1,2134
1940s_Ford_truck,Australia,2005,1,1682
1992_Ferrari_360_Spider_red,Australia,2005,1,1539
1996_Moto_Guzzi_1100i,Australia,2005,2,5304
1928_British_Royal_Navy_Airplane,Australia,2005,2,4324
1997_BMW_R_1100_S,Australia,2005,2,4180
2003_Harley_Davidson_Eagle_Drag_Bike,Australia,2005,2,3828
P_51_D_Mustang,Australia,2005,2,2898
1936_Harley_Davidson_El_Knucklehead,Australia,2005,2,1166
1939_Chevrolet_Deluxe_Coupe,Australia,2005,3,8349
1937_Lincoln_Berline,Australia,2005,3,5565
1936_Mercedes_Benz_500K_Special_Roadster,Australia,2005,3,4998
1938_Cadillac_V_16_Presidential_Limousine,Australia,2005,3,4032
1940_Ford_Pickup_Truck,Australia,2005,3,2465
1958_Setra_Bus,Australia,2005,3,2457
1952_Alpine_Renault_1300,Australia,2005,3,2424
1962_LanciaA_Delta_16V,Australia,2005,3,1739
1926_Ford_Fire_Engine,Australia,2005,3,1672
1913_Ford_Model_T_Speedster,Australia,2005,3,1440
1941_Chevrolet_Special_Deluxe_Cabriolet,Australia,2005,5,6222
1932_Alfa_Romeo_8C2300_Spider_Sport,Australia,2005,5,6138
1917_Grand_Touring_Sedan,Australia,2005,5,5291
1952_Citroen_15CV,Australia,2005,5,5280
1932_Model_A_Ford_J_Coupe,Australia,2005,5,4995
1949_Jaguar_XK_120,Australia,2005,5,3939
1970_Chevy_Chevelle_SS_454,Australia,2005,5,3900
1969_Chevrolet_Camaro_Z28,Australia,2005,5,3395
HMS_Bounty,Australia,2005,5,3072
2002_Chevy_Corvette,Australia,2005,5,2626
Boeing_X_32A_JSF,Australia,2005,5,2436
1911_Ford_Town_Car,Australia,2005,5,2304
1966_Shelby_Cobra_427_S/C,Australia,2005,5,2220
1957_Ford_Thunderbird,Australia,2005,5,2088
1900s_Vintage_Bi_Plane,Australia,2005,5,1428
1937_Horch_930V_Limousine,Australia,2005,5,1260
1939_Chevrolet_Deluxe_Coupe,Australia,2005,5,1215
1936_Mercedes_Benz_500k_Roadster,Australia,2005,5,645
1980s_Black_Hawk_Helicopter,Austria,2003,4,6923
1972_Alfa_Romeo_GTA,Austria,2003,4,5014
1940_Ford_Delivery_Sedan,Austria,2003,4,3185
1912_Ford_Model_T_Delivery_Wagon,Austria,2003,4,3080
HMS_Bounty,Austria,2003,4,2726
1941_Chevrolet_Special_Deluxe_Cabriolet,Austria,2003,4,2700
The_USS_Constitution_Ship,Austria,2003,4,2508
1900s_Vintage_Bi_Plane,Austria,2003,4,2460
Corsair_F4U_(_Bird_Cage),Austria,2003,4,1960
The_Schooner_Bluenose,Austria,2003,4,1925
1999_Yamaha_Speed_Boat,Austria,2003,4,1869
American_Airlines:_MD_11S,Austria,2003,4,1534
1937_Horch_930V_Limousine,Austria,2003,4,1460
Boeing_X_32A_JSF,Austria,2003,4,1344
1958_Setra_Bus,Austria,2003,10,6566
1940s_Ford_truck,Austria,2003,10,4995
1940_Ford_Pickup_Truck,Austria,2003,10,3564
1962_LanciaA_Delta_16V,Austria,2003,10,3528
1982_Camaro_Z28,Austria,2003,10,3198
1996_Peterbilt_379_Stake_Bed_with_Outrigger,Austria,2003,10,2695
1980?s_GM_Manhattan_Express,Austria,2003,10,2640
1939_Cadillac_Limousine,Austria,2003,10,1350
1968_Dodge_Charger,Austria,2003,11,5452
1969_Dodge_Charger,Austria,2003,11,4387
1956_Porsche_356A_Coupe,Austria,2003,11,3808
1948_Porsche_356_A_Roadster,Austria,2003,11,1260
1936_Chrysler_Airflow,Austria,2004,7,4656
1934_Ford_V8_Coupe,Austria,2004,7,2016
2002_Suzuki_XREO,Austria,2004,11,8140
1969_Harley_Davidson_Ultimate_Chopper,Austria,2004,11,7749
2002_Yamaha_YZR_M1,Austria,2004,11,4674
1968_Dodge_Charger,Austria,2004,11,4224
1969_Dodge_Charger,Austria,2004,11,4125
F/A_18_Hornet_1/72,Austria,2004,11,3638
1968_Ford_Mustang,Austria,2004,11,3600
1970_Plymouth_Hemi_Cuda,Austria,2004,11,3384
1982_Ducati_900_Monster,Austria,2004,11,3296
1974_Ducati_350_Mk3_Desmo,Austria,2004,11,2201
1917_Maxwell_Touring_Car,Austria,2005,3,4032
18th_Century_Vintage_Horse_Carriage,Austria,2005,3,2523
1934_Ford_V8_Coupe,Austria,2005,3,2220
1956_Porsche_356A_Coupe,Austria,2005,5,9240
1999_Indy_500_Monte_Carlo_SS,Austria,2005,5,7700
1992_Ferrari_360_Spider_red,Austria,2005,5,5915
1948_Porsche_Type_356_Roadster,Austria,2005,5,5590
1965_Aston_Martin_DB5,Austria,2005,5,5217
1995_Honda_Civic,Austria,2005,5,4590
1993_Mazda_RX_7,Austria,2005,5,4446
1969_Dodge_Charger,Austria,2005,5,3840
1948_Porsche_356_A_Roadster,Austria,2005,5,3276
1970_Plymouth_Hemi_Cuda,Austria,2005,5,3060
1971_Alpine_Renault_1600s,Austria,2005,5,2915
1968_Ford_Mustang,Austria,2005,5,1956
1968_Dodge_Charger,Austria,2005,5,1090
1982_Lamborghini_Diablo,Austria,2005,5,645
1950_s_Chicago_Surface_Lines_Streetcar,Belgium,2003,4,1701
1928_Ford_Phaeton_Deluxe,Belgium,2003,8,1640
18th_century_schooner,Belgium,2004,2,6811
1903_Ford_Model_A,Belgium,2004,2,4422
1904_Buick_Runabout,Belgium,2004,2,3510
The_Mayflower,Belgium,2004,2,2231
Collectable_Wooden_Train,Belgium,2004,2,1863
Collectable_Wooden_Train,Belgium,2004,7,5452
1903_Ford_Model_A,Belgium,2004,7,5040
1941_Chevrolet_Special_Deluxe_Cabriolet,Belgium,2004,7,4300
1940_Ford_Delivery_Sedan,Belgium,2004,7,3984
1972_Alfa_Romeo_GTA,Belgium,2004,7,3510
The_Titanic,Belgium,2004,7,3440
1999_Yamaha_Speed_Boat,Belgium,2004,7,3332
The_Queen_Mary,Belgium,2004,7,2964
1912_Ford_Model_T_Delivery_Wagon,Belgium,2004,7,2808
18th_century_schooner,Belgium,2004,7,2794
The_USS_Constitution_Ship,Belgium,2004,7,2604
1904_Buick_Runabout,Belgium,2004,7,2343
The_Mayflower,Belgium,2004,7,2142
Pont_Yacht,Belgium,2004,7,1702
The_Schooner_Bluenose,Belgium,2004,7,1365
1980s_Black_Hawk_Helicopter,Belgium,2004,11,5617
1941_Chevrolet_Special_Deluxe_Cabriolet,Belgium,2004,11,5535
1999_Yamaha_Speed_Boat,Belgium,2004,11,2324
1992_Ferrari_360_Spider_red,Belgium,2005,1,6290
1999_Indy_500_Monte_Carlo_SS,Belgium,2005,1,6125
1995_Honda_Civic,Belgium,2005,1,4216
1936_Chrysler_Airflow,Belgium,2005,5,2212
1917_Maxwell_Touring_Car,Belgium,2005,5,1869
18th_Century_Vintage_Horse_Carriage,Belgium,2005,5,1785
1934_Ford_V8_Coupe,Belgium,2005,5,1674
1913_Ford_Model_T_Speedster,Belgium,2005,5,880
1992_Ferrari_360_Spider_red,Canada,2003,11,5499
1995_Honda_Civic,Canada,2003,11,4690
1993_Mazda_RX_7,Canada,2003,11,4515
1982_Lamborghini_Diablo,Canada,2003,11,1260
1952_Alpine_Renault_1300,Canada,2003,12,9071
1958_Setra_Bus,Canada,2003,12,4060
1940_Ford_Pickup_Truck,Canada,2003,12,3978
1982_Camaro_Z28,Canada,2003,12,3861
18th_Century_Vintage_Horse_Carriage,Canada,2003,12,3570
1913_Ford_Model_T_Speedster,Canada,2003,12,3330
1936_Chrysler_Airflow,Canada,2003,12,3201
1917_Maxwell_Touring_Car,Canada,2003,12,2436
1996_Peterbilt_379_Stake_Bed_with_Outrigger,Canada,2003,12,2124
1934_Ford_V8_Coupe,Canada,2003,12,1876
1939_Cadillac_Limousine,Canada,2003,12,1113
1997_BMW_F650_ST,Canada,2004,4,4182
America_West_Airlines_B757_200,Canada,2004,4,3382
1900s_Vintage_Tri_Plane,Canada,2004,4,3240
F/A_18_Hornet_1/72,Canada,2004,4,2944
1928_Ford_Phaeton_Deluxe,Canada,2004,4,2652
American_Airlines:_B767_300,Canada,2004,4,2575
American_Airlines:_MD_11S,Canada,2004,4,2482
ATA:_B757_300,Canada,2004,4,2400
1928_British_Royal_Navy_Airplane,Canada,2004,4,2208
Corsair_F4U_(_Bird_Cage),Canada,2004,4,1980
P_51_D_Mustang,Canada,2004,4,1824
1930_Buick_Marquette_Phaeton,Canada,2004,4,1435
18th_century_schooner,Canada,2004,6,4500
The_Queen_Mary,Canada,2004,6,4050
1972_Alfa_Romeo_GTA,Canada,2004,6,3375
The_USS_Constitution_Ship,Canada,2004,6,3036
The_Titanic,Canada,2004,6,2200
The_Schooner_Bluenose,Canada,2004,6,2108
1912_Ford_Model_T_Delivery_Wagon,Canada,2004,6,2002
1904_Buick_Runabout,Canada,2004,6,1800
Pont_Yacht,Canada,2004,6,1479
1941_Chevrolet_Special_Deluxe_Cabriolet,Canada,2004,8,5796
18th_century_schooner,Canada,2004,8,5334
1904_Buick_Runabout,Canada,2004,8,3570
The_Schooner_Bluenose,Canada,2004,8,3555
The_Queen_Mary,Canada,2004,8,3382
1912_Ford_Model_T_Delivery_Wagon,Canada,2004,8,3162
The_USS_Constitution_Ship,Canada,2004,8,3102
1972_Alfa_Romeo_GTA,Canada,2004,8,3000
Boeing_X_32A_JSF,Canada,2004,8,2494
1940_Ford_Delivery_Sedan,Canada,2004,8,2409
1999_Yamaha_Speed_Boat,Canada,2004,8,2058
The_Titanic,Canada,2004,8,1936
HMS_Bounty,Canada,2004,8,1880
Pont_Yacht,Canada,2004,8,1683
1962_LanciaA_Delta_16V,Canada,2004,10,6680
1962_Volkswagen_Microbus,Canada,2004,10,5586
1992_Ferrari_360_Spider_red,Canada,2004,10,4575
1964_Mercedec_Tour_Bus,Canada,2004,10,3422
1982_Camaro_Z28,Canada,2004,10,2970
1940s_Ford_truck,Canada,2004,10,2884
1958_Setra_Bus,Canada,2004,10,2667
1980?s_GM_Manhattan_Express,Canada,2004,10,2376
1996_Peterbilt_379_Stake_Bed_with_Outrigger,Canada,2004,10,1904
1926_Ford_Fire_Engine,Canada,2004,10,1802
1954_Greyhound_Scenicruiser,Canada,2004,10,1710
1958_Setra_Bus,Canada,2005,5,6240
1940s_Ford_truck,Canada,2005,5,5244
1962_LanciaA_Delta_16V,Canada,2005,5,4428
1952_Alpine_Renault_1300,Canada,2005,5,4140
1982_Camaro_Z28,Canada,2005,5,3570
1940_Ford_Pickup_Truck,Canada,2005,5,3213
1980?s_GM_Manhattan_Express,Canada,2005,5,2912
1939_Cadillac_Limousine,Canada,2005,5,2100
1996_Peterbilt_379_Stake_Bed_with_Outrigger,Canada,2005,5,1863
2001_Ferrari_Enzo,Denmark,2003,2,8692
1972_Alfa_Romeo_GTA,Denmark,2003,2,7200
18th_century_schooner,Denmark,2003,2,6321
1969_Ford_Falcon,Denmark,2003,2,4553
Collectable_Wooden_Train,Denmark,2003,2,4332
1940_Ford_Delivery_Sedan,Denmark,2003,2,4000
1904_Buick_Runabout,Denmark,2003,2,3362
1912_Ford_Model_T_Delivery_Wagon,Denmark,2003,2,3212
The_Titanic,Denmark,2003,2,3159
1903_Ford_Model_A,Denmark,2003,2,3058
The_Schooner_Bluenose,Denmark,2003,2,2911
The_Queen_Mary,Denmark,2003,2,2552
The_USS_Constitution_Ship,Denmark,2003,2,2046
The_Mayflower,Denmark,2003,2,2030
Pont_Yacht,Denmark,2003,2,1425
1965_Aston_Martin_DB5,Denmark,2003,10,6149
1995_Honda_Civic,Denmark,2003,10,6144
1948_Porsche_Type_356_Roadster,Denmark,2003,10,5544
1993_Mazda_RX_7,Denmark,2003,10,3752
1999_Indy_500_Monte_Carlo_SS,Denmark,2003,10,3197
2002_Chevy_Corvette,Denmark,2003,10,3150
1952_Citroen_15CV,Denmark,2003,10,2750
1970_Chevy_Chevelle_SS_454,Denmark,2003,10,2701
1949_Jaguar_XK_120,Denmark,2003,10,2140
1957_Ford_Thunderbird,Denmark,2003,10,2025
1969_Chevrolet_Camaro_Z28,Denmark,2003,10,1540
1966_Shelby_Cobra_427_S/C,Denmark,2003,10,1219
1976_Ford_Gran_Torino,Denmark,2004,4,6566
1957_Corvette_Convertible,Denmark,2004,4,6336
1968_Ford_Mustang,Denmark,2004,4,5768
1968_Dodge_Charger,Denmark,2004,4,3161
1969_Dodge_Super_Bee,Denmark,2004,4,2993
1971_Alpine_Renault_1600s,Denmark,2004,4,2914
1961_Chevrolet_Impala,Denmark,2004,4,2068
1970_Plymouth_Hemi_Cuda,Denmark,2004,4,1480
1937_Lincoln_Berline,Denmark,2004,6,3264
1936_Mercedes_Benz_500K_Special_Roadster,Denmark,2004,6,1508
2001_Ferrari_Enzo,Denmark,2004,10,7980
1969_Ford_Falcon,Denmark,2004,10,6912
1969_Corvair_Monza,Denmark,2004,10,6394
1957_Chevy_Pickup,Denmark,2004,10,6165
1998_Chrysler_Plymouth_Prowler,Denmark,2004,10,5796
1970_Triumph_Spitfire,Denmark,2004,10,4205
1992_Porsche_Cayenne_Turbo_Silver,Denmark,2004,10,3990
Diamond_T620_Semi_Skirted_Tanker,Denmark,2004,10,3416
1903_Ford_Model_A,Denmark,2004,10,2740
Collectable_Wooden_Train,Denmark,2004,10,2484
1962_City_of_Detroit_Streetcar,Denmark,2004,10,2356
1970_Dodge_Coronet,Denmark,2004,10,2332
1950_s_Chicago_Surface_Lines_Streetcar,Denmark,2004,10,2310
The_Mayflower,Denmark,2004,10,1748
1958_Chevy_Corvette_Limited_Edition,Denmark,2004,10,1443
P_51_D_Mustang,Denmark,2004,11,4770
The_Mayflower,Denmark,2004,11,3460
The_Titanic,Denmark,2004,11,3440
The_Queen_Mary,Denmark,2004,11,3219
Pont_Yacht,Denmark,2004,11,3219
1980s_Black_Hawk_Helicopter,Denmark,2004,11,2800
The_USS_Constitution_Ship,Denmark,2004,11,2016
1999_Yamaha_Speed_Boat,Denmark,2004,11,1150
1948_Porsche_Type_356_Roadster,Denmark,2005,4,10465
1993_Mazda_RX_7,Denmark,2005,4,8357
1995_Honda_Civic,Denmark,2005,4,7152
1964_Mercedec_Tour_Bus,Finland,2003,8,6298
1998_Chrysler_Plymouth_Prowler,Finland,2003,8,5928
Diamond_T620_Semi_Skirted_Tanker,Finland,2003,8,5500
1992_Ferrari_360_Spider_red,Finland,2003,8,4828
1992_Porsche_Cayenne_Turbo_Silver,Finland,2003,8,3800
1957_Chevy_Pickup,Finland,2003,8,2142
1954_Greyhound_Scenicruiser,Finland,2003,8,1104
1970_Dodge_Coronet,Finland,2003,8,1080
1958_Chevy_Corvette_Limited_Edition,Finland,2003,8,882
1998_Chrysler_Plymouth_Prowler,Finland,2003,9,7095
1964_Mercedec_Tour_Bus,Finland,2003,9,5390
1962_Volkswagen_Microbus,Finland,2003,9,5082
1992_Ferrari_360_Spider_red,Finland,2003,9,3738
1957_Chevy_Pickup,Finland,2003,9,3336
Diamond_T620_Semi_Skirted_Tanker,Finland,2003,9,3224
1980?s_GM_Manhattan_Express,Finland,2003,9,3078
1926_Ford_Fire_Engine,Finland,2003,9,2691
1954_Greyhound_Scenicruiser,Finland,2003,9,2624
1958_Chevy_Corvette_Limited_Edition,Finland,2003,9,1200
1980s_Black_Hawk_Helicopter,Finland,2003,10,6536
1972_Alfa_Romeo_GTA,Finland,2003,10,4512
American_Airlines:_MD_11S,Finland,2003,10,3784
F/A_18_Hornet_1/72,Finland,2003,10,3698
1941_Chevrolet_Special_Deluxe_Cabriolet,Finland,2003,10,3625
1999_Yamaha_Speed_Boat,Finland,2003,10,3476
Corsair_F4U_(_Bird_Cage),Finland,2003,10,3388
HMS_Bounty,Finland,2003,10,2912
1940_Ford_Delivery_Sedan,Finland,2003,10,2516
America_West_Airlines_B757_200,Finland,2003,10,2360
1937_Horch_930V_Limousine,Finland,2003,10,1904
1900s_Vintage_Bi_Plane,Finland,2003,10,1679
Boeing_X_32A_JSF,Finland,2003,10,1666
1992_Ferrari_360_Spider_red,Finland,2004,4,7097
1956_Porsche_356A_Coupe,Finland,2004,4,4466
1948_Porsche_356_A_Roadster,Finland,2004,4,3404
1969_Dodge_Charger,Finland,2004,4,1953
1982_Lamborghini_Diablo,Finland,2004,4,900
2001_Ferrari_Enzo,Finland,2004,5,10604
1970_Triumph_Spitfire,Finland,2004,5,6768
1969_Corvair_Monza,Finland,2004,5,4375
1969_Ford_Falcon,Finland,2004,5,4158
1962_City_of_Detroit_Streetcar,Finland,2004,5,3136
1950_s_Chicago_Surface_Lines_Streetcar,Finland,2004,5,2000
1957_Corvette_Convertible,Finland,2004,9,7938
2003_Harley_Davidson_Eagle_Drag_Bike,Finland,2004,9,6670
1997_BMW_R_1100_S,Finland,2004,9,5452
1974_Ducati_350_Mk3_Desmo,Finland,2004,9,4370
2002_Suzuki_XREO,Finland,2004,9,4152
2002_Yamaha_YZR_M1,Finland,2004,9,3564
1969_Harley_Davidson_Ultimate_Chopper,Finland,2004,9,2599
1961_Chevrolet_Impala,Finland,2004,9,2592
1957_Vespa_GS150,Finland,2004,9,2184
1982_Ducati_900_Monster,Finland,2004,9,2178
1982_Ducati_996_R,Finland,2004,9,1008
1997_BMW_F650_ST,Finland,2005,1,6600
1961_Chevrolet_Impala,Finland,2005,1,5160
The_Schooner_Bluenose,Finland,2005,1,4620
1976_Ford_Gran_Torino,Finland,2005,1,4152
1972_Alfa_Romeo_GTA,Finland,2005,1,4056
1969_Dodge_Charger,Finland,2005,1,4048
The_Queen_Mary,Finland,2005,1,4033
Pont_Yacht,Finland,2005,1,3973
1948_Porsche_356_A_Roadster,Finland,2005,1,3696
1960_BSA_Gold_Star_DBD34_1960,Finland,2005,1,3591
1968_Dodge_Charger,Finland,2005,1,3298
The_Titanic,Finland,2005,1,3264
1937_Horch_930V_Limousine,Finland,2005,1,3036
1941_Chevrolet_Special_Deluxe_Cabriolet,Finland,2005,1,3000
1956_Porsche_356A_Coupe,Finland,2005,1,2945
The_USS_Constitution_Ship,Finland,2005,1,2870
1957_Vespa_GS150,Finland,2005,1,2848
Corsair_F4U_(_Bird_Cage),Finland,2005,1,2847
1968_Ford_Mustang,Finland,2005,1,2805
1970_Plymouth_Hemi_Cuda,Finland,2005,1,2788
1969_Dodge_Super_Bee,Finland,2005,1,2760
HMS_Bounty,Finland,2005,1,2688
1900s_Vintage_Bi_Plane,Finland,2005,1,2660
1982_Ducati_900_Monster,Finland,2005,1,2623
American_Airlines:_MD_11S,Finland,2005,1,2520
1971_Alpine_Renault_1600s,Finland,2005,1,2457
1940_Ford_Delivery_Sedan,Finland,2005,1,2392
1999_Yamaha_Speed_Boat,Finland,2005,1,1914
1912_Ford_Model_T_Delivery_Wagon,Finland,2005,1,1881
Boeing_X_32A_JSF,Finland,2005,1,1625
1980s_Black_Hawk_Helicopter,Finland,2005,1,1624
1957_Corvette_Convertible,Finland,2005,1,1624
1992_Ferrari_360_Spider_red,Finland,2005,2,7254
1993_Mazda_RX_7,Finland,2005,2,5880
1969_Dodge_Charger,Finland,2005,2,5200
1995_Honda_Civic,Finland,2005,2,4356
1948_Porsche_356_A_Roadster,Finland,2005,2,2108
1970_Plymouth_Hemi_Cuda,Finland,2005,2,1632
1992_Ferrari_360_Spider_red,France,2003,4,8208
1940s_Ford_truck,France,2003,4,4797
1982_Camaro_Z28,France,2003,4,4746
