CUSTOMERNAME,C2,MONTH_ID
"Dragon_Souveniers,_Ltd.","4176, 44219, 77812, 43658, 3128","3, 9, 10, 4, 8"
Enaco_Distributors,"4219, 74193","4, 11"
Euro+_Shopping_Channel,"40647, 76170, 131387, 47729, 89624, 109789, 160560, 10987, 21987, 195092, 28328","10, 3, 2, 9, 6, 1, 5, 11, 8, 12, 4"
FunGiftIdeas.com,"49505, 37558, 11862","11, 3, 10"
Gift_Depot_Inc.,"31649, 44131, 26115","5, 6, 11"
Gift_Ideas_Corp.,"7601, 20352, 29343","9, 6, 12"
Gifts4AllAges.com,"48317, 19550, 15345","5, 6, 9"
Handji_Gifts&_Co,"45790, 24219, 2588, 42902","6, 2, 4, 9"
Heintze_Collectables,100597,10
Herkku_Gifts,"95277, 16363","11, 9"
"Iberia_Gift_Imports,_Corp.","51501, 3221","11, 10"
L_ordine_Souveniers,"44672, 56422, 41511","11, 7, 5"
"La_Corne_D_abondance,_Co.","38215, 2174, 56813","4, 8, 11"
La_Rochelle_Gifts,"59617, 20721, 56002, 43785","2, 10, 7, 5"
Land_of_Toys_Inc.,"45356, 53153, 39776, 25784","5, 11, 9, 2"
Lyon_Souveniers,"20322, 32624, 25624","3, 12, 7"
Marseille_Mini_Autos,"20136, 52481, 2317","11, 5, 1"
Marta_s_Replicas_Co.,"54251, 48829","10, 8"
"Men__R__US_Retailers,_Ltd.","23889, 24159","1, 10"
Microscale_Inc.,"31447, 1699","11, 4"
Mini_Auto_Werke,"8776, 28551, 14939","3, 10, 11"
Mini_Caravy,"75021, 5417","4, 6"
Mini_Classics,"46871, 38682","10, 11"
Mini_Creations_Ltd.,"45738, 11021, 52192","8, 1, 11"
Mini_Gifts_Distributors_Ltd.,"7262, 58757, 60842, 63073, 42152, 154652, 100404, 115896, 51827","5, 11, 2, 10, 12, 3, 7, 8, 1"
Mini_Wheels_Co.,"18696, 30349, 25432","3, 11, 12"
Motor_Mint_Distributors_Inc.,"7288, 48997, 27399","4, 11, 3"
Muscle_Machine_Inc,"106023, 23253, 68462","12, 7, 6"
"Norway_Gifts_By_Mail,_Co.","34146, 45080","8, 10"
Online_Diecast_Creations_Co.,"12133, 119553","1, 11"
Online_Mini_Collectables,"52507, 4693","8, 9"
Osaka_Souveniers_Co.,"17114, 50491","4, 1"
"Oulu_Toy_Supplies,_Inc.","37503, 17813, 49057","9, 4, 1"
Petit_Auto,"18800, 8411, 47761","2, 5, 7"
Reims_Collectables,"52027, 30214, 15146, 18972, 18682","3, 12, 7, 5, 11"
Rovelli_Gifts,"81774, 56182","11, 2"
"Royal_Canadian_Collectables,_Ltd.","43332, 31304","8, 4"
Royale_Belge,"13463, 1711, 1637, 16629","11, 4, 8, 1"
Salzburg_Collectables,"45001, 38631, 6694, 59475","11, 4, 7, 5"
"Saveley_&_Henriot,_Co.","54536, 46803, 41535","1, 3, 11"
Scandinavian_Gift_Ideas,"31608, 53943, 48711","3, 9, 10"
Signal_Collectibles_Ltd.,"16120, 34101","2, 9"
Signal_Gift_Stores,"34455, 33849, 14451","8, 5, 11"
Souveniers_And_Things_Co.,"69692, 37905, 43973","7, 12, 5"
"Stylish_Desk_Decors,_Co.","42688, 13740, 32376","11, 12, 6"
Suominen_Souveniers,"31571, 31018, 51376","8, 5, 1"
Super_Scale_Inc.,"42499, 36973","11, 5"
Technics_Stores_Inc.,"62306, 13529, 2916, 42032","10, 1, 11, 7"
Tekni_Collectables_Inc.,"8722, 27987, 46518","3, 5, 4"
The_Sharp_Gifts_Warehouse,"48472, 16128, 95407","5, 6, 4"
"Tokyo_Collectables,_Ltd","38193, 554, 55889, 25928","1, 4, 11, 6"
"Toys_of_Finland,_Co.","26424, 42081, 42743","2, 10, 9"
Toys4GrownUps.com,"55777, 4512, 44274","8, 11, 1"
"UK_Collectables,_Ltd.","50409, 40805, 26797","6, 4, 10"
"Vida_Sport,_Ltd","67281, 50432","8, 2"
Vitachrome_Inc.,"24805, 6864, 56372","4, 1, 11"
"Volvo_Model_Replicas,_Co","66006, 9749","11, 3"
West_Coast_Collectables_Co.,"37849, 8235","1, 12"
giftsbymail.co.uk,"51334, 26907","11, 3"
